行业,公司名称,企业行业,职责描述,ONET0,desc0,dist0,score0,ONET1,desc1,dist1,score1,ONET2,desc2,dist2,score2,ONET3,desc3,dist3,score3,ONET4,desc4,dist4,score4
医疗健康 / 制药,皓元医药,制药,1.具体负责生物医药领域的行业热点追踪和调研，现有产品线的定期更新及维护。 2.?负责公司产品的市场推广的宣讲、展会等宣传活动。 3.?能根据产品的开发战略，协助市场部门策划推广和宣传活动。 4.?负责市场信息的反馈，为新品开发提供市场指导意见。 5.?负责协助产品销售数据、竞争对手的分析 6.?负责公司制定的销售策略的监督执行、负责销售团队的技术指导和培训工作 7.?负责产品售前售后技术支持。 8.?完成公司部门安排的其他任务。,27-3023.00,为印刷品、广播或其他传媒如报纸、杂志、广播或电视台叙述或撰写新闻报道、评论或评论。可能通过采访、调查或观察收集和分析信息。,0.0007024938531787847,未评分,11-2011.00,规划、指导或协调广告政策和项目，或制作海报、比赛、优惠券或赠品等宣传材料，以增加产品或服务的购买兴趣，为一个部门、整个组织或按账户的要求。,0.0,未评分,11-1031.00,在地方、部落、州或联邦一级制定、引入或实施法律和法规。仅包括担任选举职务的工作人员。,0.0,未评分,11-1021.00,规划、指导或协调公共或私营部门组织的运营，监督多个部门或地点。职责包括制定政策、管理日常运营以及规划材料和人力资源的利用，但性质过于多样和普遍，无法归类到管理或行政的任何一个功能领域，如人事、采购或行政服务。通常通过下属主管进行管理。不包括一线主管。,0.0,未评分,11-1011.03,与管理层、股东、客户和员工沟通和协调，解决可持续性问题。实施或监督企业可持续发展战略。,0.0,未评分
消费品 / 家电,海信集团,家电,1、负责冰冷洗物流发货计划制定及管理工作； 2、负责冰冷洗物流费用改善管理工作； 3、负责部门物流信息化等项目推进； 4、完成上级领导交办的其他工作。,33-2021.00,检查建筑物以发现火灾危险，并执行当地法规和州法律，或调查并收集事实以确定火灾和爆炸的原因。,0.000709471443774388,未评分,11-2011.00,规划、指导或协调广告政策和项目，或制作海报、比赛、优惠券或赠品等宣传材料，以增加产品或服务的购买兴趣，为一个部门、整个组织或按账户的要求。,0.0,未评分,11-1031.00,在地方、部落、州或联邦一级制定、引入或实施法律和法规。仅包括担任选举职务的工作人员。,0.0,未评分,11-1021.00,规划、指导或协调公共或私营部门组织的运营，监督多个部门或地点。职责包括制定政策、管理日常运营以及规划材料和人力资源的利用，但性质过于多样和普遍，无法归类到管理或行政的任何一个功能领域，如人事、采购或行政服务。通常通过下属主管进行管理。不包括一线主管。,0.0,未评分,11-1011.03,与管理层、股东、客户和员工沟通和协调，解决可持续性问题。实施或监督企业可持续发展战略。,0.0,未评分
消费品 / 文娱用品/器材,东莞市天宇玩具制品有限公司,文娱用品/器材,1.负责区域物料仓库的日常运营管理，监督仓库服务方完整、合规履行服务中合同约定职责 2.负责区域物料仓库服务方的服务考评、执行考核结果、推动服务方的服务质量改善 3.协助制定或根据业务变化及时修订作业流程或提出修订建议并协助协调信息技术团队将新流程、新标准落实到作业现场 4.协助采购团队管理供应商依照交付计划完成向区域物料仓库的订单交付工作，包括采购订单交付计划执行监督、订单交付入仓预约、货物文件及数据完整性检查等 5.协助仓库现场处理各种交付异常并及时向相关方反馈处理意见 6.协助关务团队督促服务方及时按照出仓货物的实际情况缮制出口货物单证文件并提供给进出口业务执行人员 7.上级管理人员安排的其他任务,29-2011.02,染色、制片，并根据既定标准和惯例研究细胞，以检测出癌症、激素异常和其他病理情况的证据。,0.00035561877667140827,未评分,11-2011.00,规划、指导或协调广告政策和项目，或制作海报、比赛、优惠券或赠品等宣传材料，以增加产品或服务的购买兴趣，为一个部门、整个组织或按账户的要求。,0.0,未评分,11-1031.00,在地方、部落、州或联邦一级制定、引入或实施法律和法规。仅包括担任选举职务的工作人员。,0.0,未评分,11-1021.00,规划、指导或协调公共或私营部门组织的运营，监督多个部门或地点。职责包括制定政策、管理日常运营以及规划材料和人力资源的利用，但性质过于多样和普遍，无法归类到管理或行政的任何一个功能领域，如人事、采购或行政服务。通常通过下属主管进行管理。不包括一线主管。,0.0,未评分,11-1011.03,与管理层、股东、客户和员工沟通和协调，解决可持续性问题。实施或监督企业可持续发展战略。,0.0,未评分
医疗健康 / 医疗器械,微创神通医疗科技(上海)有限公司,医疗器械,职责描述： - 学术传播者：学习疾病及产品知识，独立进行代理商培训； - 技术指导者：熟悉并了解手术过程、术式出现问题的解决方案，进行独立跟台，及应对术者术中出现的问题； - 策略谋划者：分析销售数据，制定客户开发方案； - 情报洞察者：获悉市场动向和竞争格局。,47-2022.00,搭建石结构，如码头、墙壁和桥墩。铺设人行道、街心石或特殊类型的砌体，用于酒桶、储罐和地板。,0.0007107320540156361,未评分,11-1031.00,在地方、部落、州或联邦一级制定、引入或实施法律和法规。仅包括担任选举职务的工作人员。,0.0,未评分,11-1021.00,规划、指导或协调公共或私营部门组织的运营，监督多个部门或地点。职责包括制定政策、管理日常运营以及规划材料和人力资源的利用，但性质过于多样和普遍，无法归类到管理或行政的任何一个功能领域，如人事、采购或行政服务。通常通过下属主管进行管理。不包括一线主管。,0.0,未评分,11-1011.03,与管理层、股东、客户和员工沟通和协调，解决可持续性问题。实施或监督企业可持续发展战略。,0.0,未评分,11-1011.00,确定和制定公司或私营和公共部门组织的政策，并在董事会或类似治理机构设立的指导方针下提供整体方向。规划、指导或协调管理层最高级别的运营活动，借助下属高管和员工经理的帮助。,0.0,未评分
消费品 / 工艺品,艾基埃(上海)珠宝科研检测有限公司,工艺品,1. 具有较强检测实践能力，能独立开展检测工作。 2. 熟悉检测流程，对检测技术和结果进行把控。 3. 实验室日常事务的处理及维护。 4. 完成上级交办的其他工作。,29-1041.00,诊断、管理和治疗人眼和视觉系统的疾病和疾病。检查眼睛和视觉系统，诊断问题或损伤，开具矫正镜片，并提供治疗。可能会开具治疗药物来治疗特定的眼部疾病。,0.000708215297450425,未评分,11-2011.00,规划、指导或协调广告政策和项目，或制作海报、比赛、优惠券或赠品等宣传材料，以增加产品或服务的购买兴趣，为一个部门、整个组织或按账户的要求。,0.0,未评分,11-1031.00,在地方、部落、州或联邦一级制定、引入或实施法律和法规。仅包括担任选举职务的工作人员。,0.0,未评分,11-1021.00,规划、指导或协调公共或私营部门组织的运营，监督多个部门或地点。职责包括制定政策、管理日常运营以及规划材料和人力资源的利用，但性质过于多样和普遍，无法归类到管理或行政的任何一个功能领域，如人事、采购或行政服务。通常通过下属主管进行管理。不包括一线主管。,0.0,未评分,11-1011.03,与管理层、股东、客户和员工沟通和协调，解决可持续性问题。实施或监督企业可持续发展战略。,0.0,未评分
医疗健康 / 制药,皓元医药,制药,1.具体负责生物医药领域的行业热点追踪和调研，现有产品线的定期更新及维护。 2.?负责公司产品的市场推广的宣讲、展会等宣传活动。 3.?能根据产品的开发战略，协助市场部门策划推广和宣传活动。 4.?负责市场信息的反馈，为新品开发提供市场指导意见。 5.?负责协助产品销售数据、竞争对手的分析 6.?负责公司制定的销售策略的监督执行、负责销售团队的技术指导和培训工作 7.?负责产品售前售后技术支持。 8.?完成公司部门安排的其他任务。,11-9199.11,规划和指导对受污染的土地进行清理和重新开发，以便再利用。不包括受污染程度足以符合超基金场地标准的土地。,0.007874015748031496,未评分,11-2011.00,规划、指导或协调广告政策和项目，或制作海报、比赛、优惠券或赠品等宣传材料，以增加产品或服务的购买兴趣，为一个部门、整个组织或按账户的要求。,0.0,未评分,11-1031.00,在地方、部落、州或联邦一级制定、引入或实施法律和法规。仅包括担任选举职务的工作人员。,0.0,未评分,11-1021.00,规划、指导或协调公共或私营部门组织的运营，监督多个部门或地点。职责包括制定政策、管理日常运营以及规划材料和人力资源的利用，但性质过于多样和普遍，无法归类到管理或行政的任何一个功能领域，如人事、采购或行政服务。通常通过下属主管进行管理。不包括一线主管。,0.0,未评分,11-1011.03,与管理层、股东、客户和员工沟通和协调，解决可持续性问题。实施或监督企业可持续发展战略。,0.0,未评分
消费品 / 家电,海信集团,家电,1、负责分渠道厂直发规划； 2、负责分渠道分公司配车发货； 3、负责物流费管理及物流费、仓储费费用分析。,19-4099.01,进行测试以确定原材料、散装中间产品和成品的质量。可能会进行稳定性样品测试。,0.0007092198581560284,未评分,11-1031.00,在地方、部落、州或联邦一级制定、引入或实施法律和法规。仅包括担任选举职务的工作人员。,0.0,未评分,11-1021.00,规划、指导或协调公共或私营部门组织的运营，监督多个部门或地点。职责包括制定政策、管理日常运营以及规划材料和人力资源的利用，但性质过于多样和普遍，无法归类到管理或行政的任何一个功能领域，如人事、采购或行政服务。通常通过下属主管进行管理。不包括一线主管。,0.0,未评分,11-1011.03,与管理层、股东、客户和员工沟通和协调，解决可持续性问题。实施或监督企业可持续发展战略。,0.0,未评分,11-1011.00,确定和制定公司或私营和公共部门组织的政策，并在董事会或类似治理机构设立的指导方针下提供整体方向。规划、指导或协调管理层最高级别的运营活动，借助下属高管和员工经理的帮助。,0.0,未评分
消费品 / 工艺品,浙江运发控股集团有限公司,工艺品,1、根据区域内的销售任务，制定业务推进计划和营销方推广方案，带领所管辖区域内的人员实现销售目标； 2、负责所管辖区域省行的产品经理、一级行和各重点分行，做好与行长和网点主任的关系维护、业务对接、洽谈、沟通的工作，确保各类营销工作的有效落地； 3、负责培训、指导、跟进、和带领所辖区域人员提升业务技能和开展各类业务工作，帮助员工开展与理财经理业务沟通和关系维护的工作； 4、协助公司管理和控制所辖区域人员的各类业务费用；,19-4099.01,进行测试以确定原材料、散装中间产品和成品的质量。可能会进行稳定性样品测试。,0.0007092198581560284,未评分,11-1031.00,在地方、部落、州或联邦一级制定、引入或实施法律和法规。仅包括担任选举职务的工作人员。,0.0,未评分,11-1021.00,规划、指导或协调公共或私营部门组织的运营，监督多个部门或地点。职责包括制定政策、管理日常运营以及规划材料和人力资源的利用，但性质过于多样和普遍，无法归类到管理或行政的任何一个功能领域，如人事、采购或行政服务。通常通过下属主管进行管理。不包括一线主管。,0.0,未评分,11-1011.03,与管理层、股东、客户和员工沟通和协调，解决可持续性问题。实施或监督企业可持续发展战略。,0.0,未评分,11-1011.00,确定和制定公司或私营和公共部门组织的政策，并在董事会或类似治理机构设立的指导方针下提供整体方向。规划、指导或协调管理层最高级别的运营活动，借助下属高管和员工经理的帮助。,0.0,未评分
医疗健康 / 制药,上海环码生物医药有限公司,制药,1. 按生产文件的要求和设备操作SOP进行生产； 2. 根据要求完成工艺开发和生产操作，数据纪录与分析处理，按规定定期汇报工作； 3. 定期参加岗位技能培训，提升操作技能； 4. 依照安全作业规范执行，减少安全隐患； 5. 完成领导交代的其他工作；,53-1042.00,直接监督和协调助手、劳动者或搬运工的活动。,0.0010570824524312897,未评分,11-2011.00,规划、指导或协调广告政策和项目，或制作海报、比赛、优惠券或赠品等宣传材料，以增加产品或服务的购买兴趣，为一个部门、整个组织或按账户的要求。,0.0,未评分,11-1031.00,在地方、部落、州或联邦一级制定、引入或实施法律和法规。仅包括担任选举职务的工作人员。,0.0,未评分,11-1021.00,规划、指导或协调公共或私营部门组织的运营，监督多个部门或地点。职责包括制定政策、管理日常运营以及规划材料和人力资源的利用，但性质过于多样和普遍，无法归类到管理或行政的任何一个功能领域，如人事、采购或行政服务。通常通过下属主管进行管理。不包括一线主管。,0.0,未评分,11-1011.03,与管理层、股东、客户和员工沟通和协调，解决可持续性问题。实施或监督企业可持续发展战略。,0.0,未评分
消费品 / 文娱用品/器材,东莞市天宇玩具制品有限公司,文娱用品/器材,1.全面主持公司产品研发和技术管理工作，规划公司技术发展路线和新产品研发，实现公司技术创新目标； 2.统筹产品规划、产品研发、业务流程设计、功能设计、产品优化等工作； 3.完成各类玩具产品结构的研发、设计和创新，实现公司产品在结构上持续优化、持续创新； 4.制定产品的开发目标，把控产品开发项目周期和进度把控； 5.关注行业的发展、市场需求、用户反馈和产品功能，并进行调研分析，提供应对方案，改进相关产品，提升用户体验，提高用户活跃度和用户转化率； 6.负责产品生命周期的管理，定期进行效益评估，包括产品改进、产品线延伸及淘汰方案；,53-1042.00,直接监督和协调助手、劳动者或搬运工的活动。,0.0010570824524312897,未评分,11-2011.00,规划、指导或协调广告政策和项目，或制作海报、比赛、优惠券或赠品等宣传材料，以增加产品或服务的购买兴趣，为一个部门、整个组织或按账户的要求。,0.0,未评分,11-1031.00,在地方、部落、州或联邦一级制定、引入或实施法律和法规。仅包括担任选举职务的工作人员。,0.0,未评分,11-1021.00,规划、指导或协调公共或私营部门组织的运营，监督多个部门或地点。职责包括制定政策、管理日常运营以及规划材料和人力资源的利用，但性质过于多样和普遍，无法归类到管理或行政的任何一个功能领域，如人事、采购或行政服务。通常通过下属主管进行管理。不包括一线主管。,0.0,未评分,11-1011.03,与管理层、股东、客户和员工沟通和协调，解决可持续性问题。实施或监督企业可持续发展战略。,0.0,未评分
